id,epoch,style_id,century,style,type_id,type,name,description,author
303,30.10 - Siglos XVI y XVII. Barroco 17.20.20 - Escuela flamenca. Religión,30.1,Siglos XVI y XVII,Barroco,17.20.20,Escuela flamenca. Religión,Santa Magdalena,"""",Pedro Pablo Rubens
342,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,"El príncipe Baltasar Carlos, a caballo",1634-1635. Óleo sobre lienzo. 209 x 173 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
361,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,La adoración de los Reyes Magos,1619. Óleo sobre lienzo. 204 x 125 cm. Museo del Prado. Madrid. España. Fechado en 1619 en la piedra a los pies de la Virgen.,Diego Rodríguez de Silva y Velázquez
362,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,El príncipe Baltasar Carlos con un enano,"1631. Óleo sobre lienzo. 128,1 x 102 cm. Museo de Bellas Artes de Boston. Massachussetts. USA.",Diego Rodríguez de Silva y Velázquez
364,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,El príncipe Don Baltasar Carlos,1635-1636. Óleo sobre lienzo. 191 x 103 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
365,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,"El bufón Juan Calabazas, llamado Calabacillas","Llamado erróneamente""El bobo de Coria"""". 1636. Óleo sobre lienzo. 106 x 83,5 cm. Museo del Prado. Madrid. España.",Diego Rodríguez de Silva y Velázquez
366,30.10 - Siglos XVI y XVII. Barroco 17.10.20 - Escuela española. Religión,30.1,Siglos XVI y XVII,Barroco,17.10.20,Escuela española. Religión,Cristo en casa de Marta y María,"1618-1620. Óleo sobre lienzo. 60 x 103,5 cm. The National Gallery. Londres. Inglaterra.",Diego Rodríguez de Silva y Velázquez
368,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,Retrato ecuestre del conde-duque de Olivares,1638. Óleo sobre lienzo. 313 x 239 cm. Museo del Prado. Madrid. España.,Diego Rodríguez de Silva y Velázquez
369,30.10 - Siglos XVI y XVII. Barroco 17.10.10 - Escuela española. Retratos,30.1,Siglos XVI y XVII,Barroco,17.10.10,Escuela española. Retratos,"El bufón llamado""Don Juan de Austria""""","1634. Óleo sobre lienzo. 210 x 124,5 cm. Museo del Prado. Madrid. España.",Diego Rodríguez de Silva y Velázquez
370,30.10 - Siglos XVI y XVII. Barroco 17.10.30 - Escuela española. Mitología y Alegorías,30.1,Siglos XVI y XVII,Barroco,17.10.30,Escuela española. Mitología y Alegorías,Las Hilanderas,"También conocida como:""La fábula de Aracne"""". 1657. Oleo sobre lienzo. 220 x 289 cm. Museo del Prado. Madrid. España.",Diego Rodríguez de Silva y Velázquez
